,"UPI Banks
","Volume (Mn) By Costumers
","Value (Cr) by Costumers
","Volume (Mn)
",Value (Cr),Month
230,Jupiter Edge (LivQuick PPI),0.02,2.32,0.02,2.32,4
231,Jupiter Money,740.76,85918.88,851.61,101649.06,4
232,Jupiter Money,2616.26,486557.03,2616.26,486557.03,4
233,Karnataka Bank App,0.09,46.27,0.09,46.27,4
234,Karnataka Bank App,0.01,5.38,0.01,5.38,4
235,Karnataka Bank Apps,0.3,113.65,0.3,113.65,4
236,Karnataka Bank Apps,3.81,470.11,3.81,470.11,4
237,Karnataka Bank Apps,0.13,45.03,0.13,45.03,4
238,Karnataka Bank Apps,0.12,68.15,0.12,68.15,4
239,Karur Vysya Bank App,4.03,2118.0,4.03,2118.0,4
240,Karur Vysya Bank App,0.02,0.4,0.02,0.4,4
241,Karur Vysya Bank Apps,0.01,0.26,0.01,0.26,4
242,Karur Vysya Bank Apps,0.35,32.82,0.35,32.82,4
243,Karur Vysya Bank Apps,0.21,41.48,0.21,41.48,4
244,Karur Vysya Bank Apps,0.03,2.22,0.03,2.22,4
245,Kotak Mahindra Bank Apps,0.42,198.34,0.42,198.34,4
246,Kotak Mahindra Bank Apps,0.01,3.88,0.01,3.88,4
247,Kotak Mahindra Bank Apps,2.5,242.4,2.5,242.4,4
248,Kotak Mahindra Bank Apps,34.07,10246.99,34.07,10246.99,4
249,Kotak Mahindra Bank Apps,0.06,103.34,0.06,103.34,4
250,Kotak Mahindra Bank Apps,0.02,8.26,0.02,8.26,4
251,MI Pay,6.1,486.55,6.11,486.62,5
252,MI Pay,0.02,6.25,0.02,6.25,5
253,MI Pay,74.83,6954.18,74.83,6954.18,5
254,MI Pay,0.35,107.22,0.35,107.22,5
255,MI Pay,7.46,1372.31,58.66,1425.16,5
256,MI Pay,0.79,58.53,0.79,58.53,5
257,MakeMy Trip,0.88,406.79,0.88,406.79,5
258,MakeMy Trip,0.12,40.04,0.12,40.04,5
259,MakeMyTrip,0.06,16.47,0.06,16.47,5
260,MakeMyTrip,26.57,9559.66,26.57,9559.66,5
261,MakeMyTrip,0.33,114.09,0.33,114.09,5
262,MakeMyTrip,0.15,55.4,0.15,55.4,5
263,Mobikwik,0.13,78.71,0.13,78.71,5
264,Mobikwik,0.03,10.06,0.03,10.06,5
265,Mobikwik,0.06,23.77,0.06,23.77,5
266,Mobikwik,13.89,18174.61,13.89,18174.61,5
267,Mobikwik,0.47,186.33,0.47,186.33,5
268,Mobikwik,1.64,116.54,1.64,116.55,5
269,NSDL Payments Bank App,0.01,3.35,0.01,3.35,5
270,NSDL Payments Bank App,0.1,6.12,0.1,6.12,5
271,NSDL Payments Bank Apps,3.42,474.12,3.42,474.12,5
272,NSDL Payments Bank Apps,0.04,3.83,0.04,3.83,5
273,NSDL Payments Bank Apps,0.01,1.01,0.01,1.01,5
274,NSDL Payments Bank Apps,0.09,4.68,0.09,4.68,5
275,Others,0.01,2.41,0.01,2.41,5
276,Others,2079.92,365989.27,2079.92,365989.27,5
277,Others,0.51,335.28,0.51,335.28,5
278,Others,6.95,1981.11,6.95,1981.11,5
279,Others,0.1,63.07,0.1,63.17,5
280,Others,32.75,9221.65,37.59,11056.9,5
281,Paytm Payments Bank App,0.03,18.48,0.03,18.48,5
282,Paytm Payments Bank App,4.75,626.34,4.75,626.34,5
283,Paytm Payments Bank App,3.1,351.88,3.1,351.88,5
284,Paytm Payments Bank App,0.16,53.11,0.16,53.13,5
285,Paytm Payments Bank App,0.01,2.35,0.01,2.35,5
286,Paytm Payments Bank App,1.01,1711.21,1.01,1711.21,5
287,PhonePe,0.01,4.79,0.01,4.79,5
288,PhonePe,2.08,127.88,2.08,127.88,5
289,PhonePe,1.79,215.44,1.79,215.44,5
290,PhonePe,0.1,5.74,0.1,5.74,5
291,PhonePe,0.33,40.34,0.33,40.34,5
292,PhonePe,0.04,17.69,0.04,17.69,5
293,Punjab National Bank App,8.5,1882.81,8.5,1885.0,5
294,Punjab National Bank App,0.09,43.26,0.09,43.26,5
295,Punjab National Bank Apps,0.2,33.9,0.2,33.9,5
296,Punjab National Bank Apps,2.46,397.7,2.46,397.7,5
297,Punjab National Bank Apps,0.02,2.39,0.02,2.39,5
298,Punjab National Bank Apps,780.87,91546.5,887.45,108276.78,5
299,Punjab Sind Bank Apps,2778.75,511028.81,2778.75,511028.81,5
300,Punjab Sind Bank Apps,0.09,43.77,0.09,43.77,5
301,Punjab Sind Bank Apps,0.01,6.39,0.01,6.39,5
302,Punjab Sind Bank Apps,0.32,124.01,0.38,125.39,5
303,Punjab Sindh Bank App,4.11,490.3,4.11,490.3,5
304,Punjab Sindh Bank Apps,0.14,49.73,0.14,49.73,5
305,RBL Bank App,0.13,70.48,0.13,70.48,5
306,RBL Bank App,4.18,2195.66,4.18,2195.66,5
307,RBL Bank Apps,0.01,1.13,0.01,1.13,5
308,RBL Bank Apps,0.22,30.33,0.22,30.33,5
309,RBL Bank Apps,0.22,46.39,0.22,46.39,5
310,RBL Bank Apps,0.05,4.4,0.05,4.4,5
311,Samsung Pay,0.45,211.85,0.45,211.85,5
312,Samsung Pay,0.01,4.43,0.01,4.43,5
313,Samsung Pay,3.48,294.98,3.48,294.98,5
314,Samsung Pay,38.19,10760.55,39.69,11760.16,5
315,Samsung Pay,0.04,88.95,0.04,88.95,5
316,Samsung Pay,0.03,10.7,0.03,10.7,5
317,South Indian Bank App,6.38,506.14,6.38,506.2,6
318,South Indian Bank App,0.02,6.79,0.02,6.79,6
319,South Indian Bank Apps,68.4,6541.84,68.4,6541.84,6
320,South Indian Bank Apps,0.38,120.24,0.38,120.24,6
321,South Indian Bank Apps,6.96,1217.71,52.6,1268.38,6
322,South Indian Bank Apps,1.16,85.49,1.16,85.49,6
323,Standard Chartered Bank App,0.01,1.2,0.01,1.2,6
324,Standard Chartered Bank App,0.83,347.72,0.83,347.72,6
325,Standard Chartered Bank Apps,0.13,41.82,0.13,41.82,6
